latitude,longitude,X,Y,Zone Number,Zone Letter,depth,mag,magMod,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
62.9307,-148.7045,-16553709.22,9083278.524,6,V,64.4,1.2,1.2,ml,,,,0.29,ak,ak02046irh3e,2020-03-31T01:46:48.970Z,"52km SSE of Cantwell, Alaska",earthquake,,0.8,,,automatic,ak,ak
33.4978333,-116.7933333,-13001374.39,3961570.978,11,S,6.04,0.53,0.53,ml,13,62,0.01564,0.11,ci,ci39121903,2020-03-31T01:42:24.116Z,"9km NE of Aguanga, CA",earthquake,0.24,0.59,0.071,9,automatic,ci,ci
60.605,-152.174,-16939932.19,8535684.005,5,V,83.7,1.7,1.7,ml,,,,0.52,ak,ak02046ipdar,2020-03-31T01:43:37.991Z,"33km ENE of Redoubt Volcano, Alaska",earthquake,,0.5,,,automatic,ak,ak
38.7788315,-122.7565002,-13665191.09,4690040.416,10,S,1.53,0.24,0.06464,md,8,69,0.01085,0.02,nc,nc73361980,2020-03-31T01:33:24.154Z,"0km N of The Geysers, CA",earthquake,0.45,0.66,,1,automatic,nc,nc
32.9901667,-116.2605,-12942059.66,3893998.83,11,S,9.95,1.07,1.07,ml,28,67,0.05057,0.21,ci,ci39121887,2020-03-31T01:33:35.542Z,"21km SW of Ocotillo Wells, CA",earthquake,0.28,0.74,0.117,20,automatic,ci,ci
59.913,-151.5722,-16872940.12,8380393.718,5,V,64.1,1.5,1.5,ml,,,,0.3,ak,ak02046imzy2,2020-03-31T01:29:23.653Z,"21km NE of Anchor Point, Alaska",earthquake,,0.9,,,automatic,ak,ak
33.3436667,-116.949,-13018703.13,3941009.318,11,S,11.39,1.05,1.05,ml,41,34,0.07295,0.29,ci,ci39121879,2020-03-31T01:24:36.481Z,"8km W of Palomar Observatory, CA",earthquake,0.32,0.9,0.172,24,automatic,ci,ci
38.821167,-122.7878342,-13668679.18,4696087.557,10,S,1.04,0.87,0.65432,md,19,76,0.009672,0.04,nc,nc73361975,2020-03-31T01:11:32.625Z,"6km NNW of The Geysers, CA",earthquake,0.21,0.46,0.19,2,automatic,nc,nc
36.3328323,-120.3421631,-13396428.32,4346515.759,10,S,11.98,2.8,2.4608,md,41,61,0.1816,0.22,nc,nc73361970,2020-03-31T01:17:22.040Z,"19km S of Cantua Creek, CA",earthquake,0.36,1.39,0.15,25,automatic,nc,nc
65.0749,-150.1459,-16714165.13,9628128.208,5,W,12.4,2.2,2.2,ml,,,,1,ak,ak02046i98xm,2020-03-31T01:11:29.625Z,"24km ENE of Manley Hot Springs, Alaska",earthquake,,0.2,,,automatic,ak,ak
35.4123333,-118.2181667,-13159986.12,4220057.737,11,S,7.97,2.68,2.68,ml,43,47,0.1393,0.15,ci,ci39121855,2020-03-31T01:08:06.610Z,"32km SE of Bodfish, CA",earthquake,0.2,0.88,0.247,26,automatic,ci,ci
